Job_ID,Link of the Job ,Company,Role,Experience,PythonRequired,LinuxRequired,NetworkingRequired,AWSRequired,AzureRequired,DockerRequired,KubernetesRequired,TerraformRequired,CyberSecurityRequired,CommunicationRequired,SalaryLPA
1,https://cloudsoftsol.com/jobs/fresher-cloud-devops-engineer-gravitix-tech-hyderabad-june-2026/,Capgemini,Cloud Security Engineer,Fresher,5,9,8,9,6,7,9,5,8,8,9.61
2,https://cloudsoftsol.com/jobs/sre-devops-fresher-multi-city-mumbai-noida-june-2026/,HCL,Cloud Engineer,Fresher,7,10,8,7,9,9,5,7,7,8,5.42
3,https://cloudsoftsol.com/jobs/devops-sre-fresher-multi-city-ahmedabad-bhubaneswar-june-2026/,Wipro,Cloud Engineer,Fresher,6,7,8,8,5,6,6,5,7,8,9.26
4,https://cloudsoftsol.com/jobs/analytical-brains-education-aws-devops-engineer-fresher-hyderabad-2026/,Accenture,SOC Analyst,Fresher,9,8,9,9,5,6,7,7,6,6,9.07
5,https://cloudsoftsol.com/jobs/zyphra-tech-cloud-devops-engineer-fresher-hyderabad-2026/,Infosys,Cloud Security Engineer,Fresher,6,6,6,8,8,8,10,9,9,6,8.58
6,https://in.indeed.com/viewjob?jk=3c4fd98b44009b86,Kognito Kube Private Limited,DevOps Engineer,Fresher,8,9,8,8,7,9,9,8,7,8,NA
7,https://vertoz.zohorecruit.in/jobs/Careers/40218000041605076/Intern---Devops-Engineer---Vertoz,Vertoz,DevOps Engineer,Fresher,3,10,8,8,2,5,2,1,3,8,NA
8,https://in.indeed.com/viewjob?jk=af6342e7b35f24eb,Aapstech,Cybersecurity Analyst,Fresher,7,6,9,2,1,2,1,1,10,8,2.90 – 5.80
9,https://www.naukri.com/job-listings-trainee-ai-cloud-engineer-quantiphi-analytics-solutions-private-limited-mumbai-suburban-0-to-2-years-250326501060,Quantiphi Analytics Solutions Private Limited,Trainee AI Cloud Engineer,Fresher,8,7,6,8,6,6,5,3,2,8,NA
10,https://www.tcsion.com/jobs/Anzen-Technologies-Pvt-Ltd/Cyber-Security-Analyst--Fresher-21103/,Anzen Technologies Pvt. Ltd.,Cyber Security Analyst,Fresher,4,6,8,2,1,1,1,1,10,8,3.0-3.5
11,https://in.jooble.org/desc/-904810229809804875,Rejuvent Greentech,SOC Analyst,Fresher,3,6,8,1,1,1,1,1,10,8,3
12,https://www.linkedin.com/jobs/view/junior-cloud-cyber-security-engineer-at-unisys-4375109048,Unisys,Junior Cloud Cyber Security Engineer,Fresher,6,8,8,8,6,6,5,4,10,8,NA 
13,https://cloudsoftsol.com/jobs/fresher-cloud-devops-engineer-gravitix-tech-hyderabad-june-2026/,Gravitix Tech,Cloud DevOps Engineer,Fresher,7,9,7,9,8,8,8,7,3,8,4.0-7.0
14,https://cloudsoftsol.com/jobs/sre-devops-fresher-multi-city-mumbai-noida-june-2026/,Capgemini / Wipro / Tech Mahindra,DevOps Fresher Trainee,Fresher,7,9,7,9,8,8,8,7,3,8,4.0-8.0
15,https://cloudsoftsol.com/jobs/devops-sre-fresher-multi-city-ahmedabad-bhubaneswar-june-2026/,TCS / Adani Digital / Cognizant / Capgemini,DevOps Engineer & Site Reliability Engineer,Fresher,7,9,7,9,8,8,8,7,3,8,4.0-8.0
16,https://cloudsoftsol.com/jobs/analytical-brains-education-aws-devops-engineer-fresher-hyderabad-2026/,Analytical Brains Education Pvt Ltd,AWS DevOps Engineer,Fresher,7,9,7,10,7,8,8,8,3,8,3.0-6.0
17,https://cloudsoftsol.com/jobs/zyphra-tech-cloud-devops-engineer-fresher-hyderabad-2026/,Zyphra Tech,Cloud DevOps Engineer,Fresher,7,9,8,9,8,9,8,8,3,8,4.0-6.0
18,https://www.linkedin.com/jobs/view/4384180075/,Signant Health,Cloud Operations Engineer,Fresher,4,8,8,2,10,3,6,2,3,10,NA 
19,https://www.linkedin.com/jobs/view/4437959898/?alternateChannel=search&trackingId=...,EFICIYENT,Junior Security Analyst,Fresher,6,4,8,1,1,1,1,1,10,8,NA 
20,https://www.naukri.com/job-listings-associate-consultant-grc-sequretek-it-solutions-mumbai-all-areas-0-to-2-years-290626017995,Sequretek IT Solutions,Associate Consultant - GRC,Fresher,1,2,5,1,1,1,1,1,9,8,1.0-4.0
21,https://www.naukri.com/job-listings-trainee-ai-cloud-engineer-quantiphi-analytics-solutions-private-limited-mumbai-suburban-0-to-2-years-250326501060,Quantiphi Analytics Solutions,Trainee - AI Cloud Engineer,Fresher,9,5,5,8,7,4,3,2,2,8,NA 
22,https://www.naukri.com/job-listings-cloud-partner-operations-presales-associate-freshers-ahmedabad-devangles-infotech-ahmedabad-0-to-1-years-070726503303,DevAngles Software,Cloud Partner Operations & Presales Associate,Fresher,2,2,5,1,1,1,1,1,2,10,NA 
23,https://in.indeed.com/viewjob?jk=6ec3884beb0f2461,TechSpawn Solutions,AWS DevOps Engineer,Fresher,7,8,8,10,7,4,2,2,7,7,2.5-3.5
24,https://in.indeed.com/viewjob?jk=0a92448bc27a16b7,Countless Services Private Limited,DevOps Engineer,Fresher,7,8,6,7,7,5,5,4,4,7,3.96–7.50
25,https://in.indeed.com/viewjob?jk=42875d84f215e3f9,Frequent Research Fieldwork Solutions Pvt. Ltd.,DevOps Engineer,Fresher,2,9,8,7,1,9,2,1,7,7,2.4–4.0
26,https://in.indeed.com/viewjob?jk=a352b0f59e502cf8,Axcess Tech Systems,Cloud Engineer,Fresher,8,7,7,9,1,1,1,1,4,7,3.25
27,https://in.indeed.com/viewjob?jk=84180ef33fb4fe1f,Inkpen,Junior DevOps Engineer,0-2,2,9,9,8,7,8,6,5,7,8,1.8–3.0
28,https://in.indeed.com/viewjob?jk=0ee5b55c81a45e76,EnactOn Technologies,DevOps Engineer,0-2,3,8,7,9,1,6,8,9,6,8,4
29,https://in.indeed.com/viewjob?jk=df10a87c77f6cd4d,i2k2 Networks,AWS Cloud Engineer (L1),0–6 months,1,9,8,9,1,1,1,1,4,8,NA
30,https://in.indeed.com/viewjob?jk=df10a87c77f6cd4d,Cloudseed Technologies,Cloud Engineering Track Graduate,Fresher,6,6,7,8,8,2,2,1,6,8,NA
31,https://www.tcsion.com/jobs/PUMO-TECHNOVATION-INDIA-PRIVATE-LIMITED/Cyber-Security-Engineer-21558/,PUMO TECHNOVATION INDIA PRIVATE LIMITED,Cyber Security Engineer,Fresher,3,5,7,1,1,1,1,1,9,7,3.0–3.5
32,https://www.tcsion.com/jobs/IOPEX-TECHNOLOGIES-PRIVATE-LIMITED/SOC-Security-Operations-Center-Trainee-21418/,IOPEX TECHNOLOGIES PRIVATE LIMITED,SOC (Security Operations Center) Trainee,0-1,2,6,8,1,1,1,1,1,9,8,2.5–3.0
33,https://www.tcsion.com/jobs/GreatHire/Cyber-Security-Analyst--Freshers-21743/,GreatHire,Cyber Security Analyst,Fresher,6,7,8,1,1,1,1,1,10,8,3.0–6.0
34,https://www.tcsion.com/jobs/Agent42-Labs-Pvt-Ltd/Entry-Level-Engineer-Cloud-21276/?utm_medium=job_search_catalogue&utm_source=iDLH_internal,Agent42 Labs Pvt Ltd,Entry Level Engineer (Cloud),0-2,6,7,8,7,5,2,2,1,2,8,3-4
35,https://www.tcsion.com/jobs/Unicloud-Software-Solutions-Private-Limited/DevOps-Engineer-21889/?utm_medium=job_search_catalogue&utm_source=iDLH_internal,Unicloud Software Solutions Private Limited,DevOps Engineer,Fresher,5,8,8,8,5,7,8,6,3,8,3-4
36,https://www.tcsion.com/jobs/ZakApps-Software-Pvt-Ltd/DevOps-Engineer-21428/?utm_medium=job_search_catalogue&utm_source=iDLH_internal,ZakApps Software Pvt Ltd,DevOps Engineer,Fresher,5,8,8,7,4,5,4,3,2,8,3.0-5.5
37,https://in.indeed.com/viewjob?jk=5f68d2f9f9dc92fe,MHTECHIN Technologies,Junior Cloud & DevOps Engineer,0-1,6,8,5,8,6,7,6,1,2,7,NA
38,https://www.foundit.in/job/devops-cloud-engineer-daai-infosys-bengaluru-bangalore-58440130,Infosys,DevOps / Cloud Engineer - DaAI,Fresher,5,8,6,9,8,9,9,9,3,7,NA
39,https://www.foundit.in/job/cloud-engineer-ntt-data-north-america-bengaluru-bangalore-58440647,NTT DATA North America,Cloud Engineer,Fresher,1,5,9,8,8,1,1,1,7,8,NA
